name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
5~20 Dozens Wholesale Lots Men Women Diabetic Crew Socks Size 9-11 10-13 13-15,US $18.49/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,Cushioned,Yes,"Boots, Boy","Black,Brown,Grey,Khaki,Navy,White",Cotton,Vinco,"Business, Casual, Formal, Workwear",Crew,Solid,Machine Washable,Regular,USA,78 sold
Trainer Socks Men's Women's Invisible Ankle Liner Cotton Low Cut Sports Socks,GBP 2.67,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Ankle Socks,"Breathable, Lightweight, Moisture Wicking, Seamed",No,Trainer,,Cotton,styleandfashionwholesalers,"Activewear, Business, Casual, Clubwear, Everyday, Formal, Glamour, Party/Cocktail, Travel, Wedding, Workwear",Low Cut,No Pattern,Machine Washable,,"Plain, Sports",949 sold
Mens Trainer Pack 3 6 12 Ankle Socks Cotton Rich Low Cut Size 6 - 11,GBP 3.25,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sneaker Socks,,,None,,"55% Cotton, 23% Nylon, 20% Polyester, 2% Elastane",City Boutique London,Casual,Low Cut,plain and printed,Machine Washable,Regular,Sports,12 sold
6 Pairs Mens Cotton Socks Lot Funny Fruit Astronaut Dot Novelty Dress Work Socks,US $16.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Novelty Socks,,,,Multi-Color,Cotton,Unbranded,Workwear,,Funny,,Regular,"Funny, Novelty, Wedding",150 sold
6 Pairs of CAT Caterpillar Mens Adults Heavy Duty Industrial Workwear Socks,GBP 14.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Breathable,,,,,Caterpillar,Workwear,Mid Calf,No Pattern,Machine Washable,Regular,Work,"1,893 sold"
Summer Men's Socks Casual Business Thin Elastic Silky Casual Short Crew Socks @,US $0.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress,,,,,Polyester,Unbranded,"Business, Casual",Mid Calf,Solid,,Regular,Novelty,175 sold
Nike DRI-FIT Elite NBA 19 Basketball Socks Mid/Full Length US 8 - 12 Large,US $13.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Athletic Socks,"All Seasons, Breathable, Cushioned, Lightweight",No,"Snow White, black",White,"Nylon, Polyester, Spandex",Nike,Casual,Mid Calf,Solid,Machine Washable,Regular,Sports,"1,146 sold"
Men 15 Pairs Sport Socks Leisure Cotton Rich Classic Size 6-11,GBP 9.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sport Socks,"Ribbed Trim, Stretch, Multipack, All Seasons, Breathable",No,Boots,,Cotton Blend,Malay,"Activewear, Casual, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Modern,479 sold
Men's Merino Wool Socks Outdoor Walking Work Boot thermal Socks soft wear 6-11,GBP 2.93,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal Socks,"Breathable, Cushioned, Non-Slip, Slip Resistant, Thermal",No,Boots,,Merino Wool,Fresh socks,"Casual, Workwear",Long Socks,Plain,Machine Washable,Regular,wool socks,"10,278 sold"
Mens Breathable Anti Sweat Heavy Duty Cotton / Bamboo Work Boot Socks for Summer,GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Work Socks,,,,,Bamboo,Sock Snob,,Ankle Socks,No Pattern,Machine Washable,Regular,,"11,810 sold"
Mens Work Socks Workwear Reinforced Cushion Sole Boot Socks 12 Pairs Size 6-11,GBP 12.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Cushioned,,Boots,,"Cotton, Cotton Blend",ZAK,Casual,Mid Calf,No Pattern,,,"Outdoor, Sports",56 sold
Mens Merino Military Socks Long Thick Thermal Hiking Walking Army Combat 2.8 Tog,GBP 3.29,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Thermal Socks,Thermal,,Boots,,"Merino Wool, Cotton Blend, Polyester",Heat Mate,"Work Socks, Hiking Fishing Socks, Casual, Workwear",Long Socks,"No Pattern, Ribbed",,Regular,"Military, Security, Army","2,672 sold"
