,name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
0,5~20 Dozens Wholesale Lots Men Women Diabetic Crew Socks Size 9-11 10-13 13-15,18.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,Cushioned,Yes,"Boots, Boy","Black,Brown,Grey,Khaki,Navy,White",Cotton,Vinco,"Business, Casual, Formal, Workwear",Crew,Solid,Machine Washable,Regular,USA,78.0
1,Trainer Socks Men's Women's Invisible Ankle Liner Cotton Low Cut Sports Socks,3.3909,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Ankle Socks,"Breathable, Lightweight, Moisture Wicking, Seamed",No,Trainer,,Cotton,styleandfashionwholesalers,"Activewear, Business, Casual, Clubwear, Everyday, Formal, Glamour, Party/Cocktail, Travel, Wedding, Workwear",Low Cut,No Pattern,Machine Washable,,"Plain, Sports",949.0
2,Mens Trainer Pack 3 6 12 Ankle Socks Cotton Rich Low Cut Size 6 - 11,4.1275,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sneaker Socks,,,,,"55% Cotton, 23% Nylon, 20% Polyester, 2% Elastane",City Boutique London,Casual,Low Cut,plain and printed,Machine Washable,Regular,Sports,12.0
3,6 Pairs Mens Cotton Socks Lot Funny Fruit Astronaut Dot Novelty Dress Work Socks,16.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Novelty Socks,,,,Multi-Color,Cotton,Unbranded,Workwear,,Funny,,Regular,"Funny, Novelty, Wedding",150.0
4,6 Pairs of CAT Caterpillar Mens Adults Heavy Duty Industrial Workwear Socks,19.037300000000002,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Breathable,,,,,Caterpillar,Workwear,Mid Calf,No Pattern,Machine Washable,Regular,Work,1893.0
5,Summer Men's Socks Casual Business Thin Elastic Silky Casual Short Crew Socks @,0.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress,,,,,Polyester,Unbranded,"Business, Casual",Mid Calf,Solid,,Regular,Novelty,175.0
6,Nike DRI-FIT Elite NBA 19 Basketball Socks Mid/Full Length US 8 - 12 Large,13.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Athletic Socks,"All Seasons, Breathable, Cushioned, Lightweight",No,"Snow White, black",White,"Nylon, Polyester, Spandex",Nike,Casual,Mid Calf,Solid,Machine Washable,Regular,Sports,1146.0
7,Men 15 Pairs Sport Socks Leisure Cotton Rich Classic Size 6-11,12.6365,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sport Socks,"Ribbed Trim, Stretch, Multipack, All Seasons, Breathable",No,Boots,,Cotton Blend,Malay,"Activewear, Casual, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Modern,479.0
8,Men's Merino Wool Socks Outdoor Walking Work Boot thermal Socks soft wear 6-11,3.7211000000000003,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal Socks,"Breathable, Cushioned, Non-Slip, Slip Resistant, Thermal",No,Boots,,Merino Wool,Fresh socks,"Casual, Workwear",Long Socks,Plain,Machine Washable,Regular,wool socks,10278.0
9,Mens Breathable Anti Sweat Heavy Duty Cotton / Bamboo Work Boot Socks for Summer,12.6873,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Work Socks,,,,,Bamboo,Sock Snob,,Ankle Socks,No Pattern,Machine Washable,Regular,,11810.0
10,Mens Work Socks Workwear Reinforced Cushion Sole Boot Socks 12 Pairs Size 6-11,15.862300000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Cushioned,,Boots,,"Cotton, Cotton Blend",ZAK,Casual,Mid Calf,No Pattern,,,"Outdoor, Sports",56.0
11,Mens Merino Military Socks Long Thick Thermal Hiking Walking Army Combat 2.8 Tog,4.1783,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Thermal Socks,Thermal,,Boots,,"Merino Wool, Cotton Blend, Polyester",Heat Mate,"Work Socks, Hiking Fishing Socks, Casual, Workwear",Long Socks,"No Pattern, Ribbed",,Regular,"Military, Security, Army",2672.0
12,Mens Gentle Grip Cotton Rich Non Elastic HoneyComb Top Socks (lot) All Sizes,7.6073,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Non Elastic,"All Seasons, Breathable, Lightweight, Moisture Wicking",No,,,"16% Polyester, 2% Elastane, 7% Nylon, 75% Cotton",Gentle Grip,"Business, Casual, Formal",Lower Calf,No Pattern,Machine Washable,Regular,Everyday Socks,1102.0
13,6 & 12 Pairs Mens Non Elastic Diabetic Socks Loose Soft Grip Top Adults UK 6-11,10.1473,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,All Seasons,No,Boots,,Cotton,CTL,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Modern,1928.0
14,5/10X Mens Trainer Liner Ankle Socks Cotton Low Cut Sports Breathale wholesale,3.1623,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",,Novelty Socks,,,,,Cotton,Unbranded,Casual,Low Cut,No Pattern,,Regular,Sports,51.0
15,FILA Mens Womens Sports Trainer Socks Ankle Low Cut Invisible Cotton Lot,3.7973000000000003,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,"Athletic Socks, All Seasons, Arch Support, Breathable, Lightweight, Moisture Wicking, Non-Slip",,Logo,,Cotton,FILA,"Business, Casual, Formal","Low cut , Ankle",,,Regular,Sports,3270.0
16,Fashion Mens Cotton Socks Renaissance Art Famous painting Crew Casual Socks 7-12,3.26,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,"All Seasons, Breathable",,,Multi-Color,"Cotton, Cotton Blend",Unbranded,Casual,Mid Calf,,,Regular,"Art, Novelty",499.0
17,1Pair Mens Soft Solid Bamboo Silk Ankle Business Socks Thin Breathable Hosiery,0.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress,,,,,Polyester,Unbranded,,,Solid,,,Novelty,34.0
18,mens black socks 12 pairs cotton rich socks mens 6-11,17.7673,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,Cotton,SIMALA,Casual,Mid Calf,colored heels and toes,,,,599.0
19,NIKE SOCKS 3 PAIRS BLACK WHITE CREW ANKLE MENS WOMENS,15.2273,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,CREW ANKLE,"All Seasons, Arch Support, Moisture Wicking",,,,Cotton,Nike,Casual,,,,,Sports,1798.0
20,NIKE SOCKS 3 PAIRS PACK - LIGHTWEIGHT CREW ANKLE MENS WOMENS SPORTS,13.9573,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,CREW ANKLE,"All Seasons, Arch Support, Cushioned, Lightweight, Moisture Wicking",No,"Andrea, Angel, Astro Boy, Atom",,Cotton,Nike,Casual,Mid Calf,,Machine Washable,Regular,Sports,6313.0
